rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,values
1555426868100270254,,18,,1555426868,100121056,"""cf3/base_link""","[913.0, 863.0, 3626.0, 1100.0, 871.0, 58.0]"
1555426868120750025,,19,,1555426868,120523859,"""cf3/base_link""","[913.0, 863.0, 3626.0, 1100.0, 871.0, 58.0]"
1555426868142356552,,20,,1555426868,142181470,"""cf3/base_link""","[913.0, 865.0, 3661.0, 1100.0, 871.0, 60.0]"
1555426868159900090,,21,,1555426868,159681782,"""cf3/base_link""","[913.0, 865.0, 3661.0, 1105.0, 866.0, 62.0]"
1555426868180643388,,22,,1555426868,180306919,"""cf3/base_link""","[913.0, 865.0, 3661.0, 1105.0, 866.0, 62.0]"
1555426868200354871,,23,,1555426868,199986436,"""cf3/base_link""","[913.0, 865.0, 3661.0, 1105.0, 866.0, 58.0]"
1555426868219000191,,24,,1555426868,218740042,"""cf3/base_link""","[913.0, 865.0, 3661.0, 1105.0, 866.0, 58.0]"
1555426868238913104,,25,,1555426868,238398331,"""cf3/base_link""","[909.0, 861.0, 3402.0, 1105.0, 866.0, 61.0]"
1555426868264541401,,26,,1555426868,264146867,"""cf3/base_link""","[909.0, 861.0, 3402.0, 1099.0, 868.0, 61.0]"
1555426868280159251,,27,,1555426868,278866400,"""cf3/base_link""","[909.0, 861.0, 3402.0, 1099.0, 868.0, 57.0]"
1555426868298915311,,28,,1555426868,298651774,"""cf3/base_link""","[909.0, 861.0, 3402.0, 1099.0, 868.0, 59.0]"
1555426868320412094,,29,,1555426868,320115044,"""cf3/base_link""","[909.0, 861.0, 3402.0, 1099.0, 868.0, 59.0]"
1555426868339975954,,30,,1555426868,339490729,"""cf3/base_link""","[913.0, 863.0, 3534.0, 1099.0, 868.0, 57.0]"
1555426868359506817,,31,,1555426868,359139348,"""cf3/base_link""","[913.0, 863.0, 3534.0, 1100.0, 863.0, 59.0]"
1555426868379197565,,32,,1555426868,378792950,"""cf3/base_link""","[913.0, 863.0, 3534.0, 1100.0, 863.0, 59.0]"
1555426868401305417,,33,,1555426868,400978259,"""cf3/base_link""","[913.0, 863.0, 3534.0, 1100.0, 863.0, 62.0]"
1555426868419080174,,34,,1555426868,418714207,"""cf3/base_link""","[913.0, 863.0, 3534.0, 1100.0, 863.0, 62.0]"
1555426868438680827,,35,,1555426868,438377462,"""cf3/base_link""","[911.0, 864.0, 3688.0, 1100.0, 863.0, 62.0]"
1555426868458400837,,36,,1555426868,458077011,"""cf3/base_link""","[911.0, 864.0, 3688.0, 1100.0, 869.0, 60.0]"
1555426868478201474,,37,,1555426868,477841514,"""cf3/base_link""","[911.0, 864.0, 3688.0, 1100.0, 869.0, 60.0]"
1555426868499821477,,38,,1555426868,499225372,"""cf3/base_link""","[911.0, 864.0, 3688.0, 1100.0, 869.0, 58.0]"
1555426868523689464,,39,,1555426868,523289416,"""cf3/base_link""","[911.0, 864.0, 3688.0, 1100.0, 869.0, 58.0]"
1555426868539601775,,40,,1555426868,539317851,"""cf3/base_link""","[913.0, 864.0, 3538.0, 1100.0, 869.0, 59.0]"
1555426868559490106,,41,,1555426868,559141218,"""cf3/base_link""","[913.0, 864.0, 3538.0, 1104.0, 867.0, 57.0]"
1555426868579226604,,42,,1555426868,578857085,"""cf3/base_link""","[913.0, 864.0, 3538.0, 1104.0, 867.0, 57.0]"
1555426868598543463,,43,,1555426868,598197797,"""cf3/base_link""","[913.0, 864.0, 3538.0, 1104.0, 867.0, 59.0]"
1555426868618055511,,44,,1555426868,617702007,"""cf3/base_link""","[913.0, 864.0, 3538.0, 1104.0, 867.0, 59.0]"
1555426868637435922,,45,,1555426868,637095659,"""cf3/base_link""","[911.0, 864.0, 3883.0, 1104.0, 867.0, 59.0]"
1555426868660269542,,46,,1555426868,659663142,"""cf3/base_link""","[911.0, 864.0, 3883.0, 1103.0, 867.0, 62.0]"
1555426868678211277,,47,,1555426868,677828863,"""cf3/base_link""","[911.0, 864.0, 3883.0, 1103.0, 867.0, 62.0]"
1555426868697571438,,48,,1555426868,697230720,"""cf3/base_link""","[911.0, 864.0, 3883.0, 1103.0, 867.0, 60.0]"
1555426868717299659,,49,,1555426868,716972738,"""cf3/base_link""","[911.0, 864.0, 3883.0, 1103.0, 867.0, 60.0]"
1555426868738377635,,50,,1555426868,738050247,"""cf3/base_link""","[913.0, 865.0, 3781.0, 1103.0, 867.0, 56.0]"
1555426868758314334,,51,,1555426868,757901996,"""cf3/base_link""","[913.0, 865.0, 3781.0, 1095.0, 868.0, 61.0]"
1555426868777870010,,52,,1555426868,777522328,"""cf3/base_link""","[913.0, 865.0, 3781.0, 1095.0, 868.0, 61.0]"
1555426868800183594,,53,,1555426868,799880817,"""cf3/base_link""","[913.0, 865.0, 3781.0, 1095.0, 868.0, 57.0]"
1555426868817864293,,54,,1555426868,817475037,"""cf3/base_link""","[913.0, 865.0, 3781.0, 1095.0, 868.0, 57.0]"
1555426868837355906,,55,,1555426868,837050804,"""cf3/base_link""","[909.0, 862.0, 3614.0, 1095.0, 868.0, 56.0]"
1555426868857398740,,56,,1555426868,857000109,"""cf3/base_link""","[909.0, 862.0, 3614.0, 1102.0, 870.0, 57.0]"
1555426868876826675,,57,,1555426868,876481109,"""cf3/base_link""","[909.0, 862.0, 3614.0, 1102.0, 870.0, 57.0]"
1555426868898362340,,58,,1555426868,897974150,"""cf3/base_link""","[909.0, 862.0, 3614.0, 1102.0, 870.0, 61.0]"
1555426868921735772,,59,,1555426868,921467361,"""cf3/base_link""","[909.0, 862.0, 3614.0, 1102.0, 870.0, 61.0]"
1555426868936879558,,60,,1555426868,936659086,"""cf3/base_link""","[912.0, 868.0, 3487.0, 1102.0, 870.0, 63.0]"
1555426868957065506,,61,,1555426868,956942159,"""cf3/base_link""","[912.0, 868.0, 3487.0, 1099.0, 865.0, 62.0]"
